Programa Bolsa Família (PBF) - número de benefícios em dezembro;;;;;;;;;;
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019
AC;12;Acre;70769;78050;78561;82795;82795;86360;90534;87465
AL;27;Alagoas;436270;438656;439655;396054;396054;407872;413983;389492
AM;13;Amazonas;332516;358836;358516;358516;370487;388757;409529;388546
AP;16;Amapá;53417;53608;55527;53608;62371;70029;77227;75598
BA;29;Bahia;1808346;1800055;1808376;1808376;1772853;1843633;1858143;1757931
CE;23;Ceará;1107009;1095316;1089813;1095316;1042087;1048606;1071704;1020141
DF;53;Distrito Federal;99950;93272;86524;86524;87255;79740;73888;67405
ES;32;Espírito Santo;201274;201671;190049;169460;180737;169460;181139;168839
GO;52;Goiás;348375;340341;336606;306444;306444;310483;310220;278556
MA;21;Maranhão;951611;962011;985136;985136;951942;987510;987370;933326
MG;31;Minas Gerais;1197240;1177574;1143020;1061912;1061912;1063815;1057280;976127
MS;50;Mato Grosso do Sul;142249;146539;144736;130877;130877;126694;130336;114659
MT;51;Mato Grosso;184686;187262;185619;162284;163610;162284;162977;143362
PA;15;Pará;813367;856932;883514;894412;894412;935715;969576;930274
PB;25;Paraíba;506234;510357;529081;517658;507358;517658;526330;505183
PE;26;Pernambuco;1151313;1125465;1127399;1074458;1074458;1159969;1182344;1131619
PI;22;Piauí;453760;471116;478325;478325;455535;446665;454286;437522
PR;41;Paraná;449794;429942;406819;371108;371108;371384;380141;336822
RJ;33;Rio de Janeiro;789827;841885;818041;841885;793134;818624;878936;824797
RN;24;Rio Grande do Norte;364751;372825;373359;355591;355591;346683;358286;340600
RO;11;Rondônia;117806;113726;109905;109905;90285;83630;81938;71422
RR;14;Roraima;47303;49384;51046;49015;49015;43725;48208;44428
RS;43;Rio Grande do Sul;463519;456962;436156;365614;380846;365614;369036;327574
SC;42;Santa Catarina;147043;143833;137427;121999;121999;120522;122943;107103
SE;28;Sergipe;268330;256838;266084;253052;253052;279622;293106;280673
SP;35;São Paulo;1254284;1377082;1339075;1542425;1477705;1542425;1581737;1386845
TO;17;Tocantins;139690;139251;137609;139251;128530;126005;121906;110090
