Taxa de homicídios (100.000 Habitantes)
Sigla;Código;Estado;2013;2014;2015;2016;2017;2018;2019;
AC;12;Acre;30,1366581537166;29,3635947115102;27,006744218755;44,4478729304947;60,2482086082399;46,9362047246561;36,0570790364622;
AL;27;Alagoas;65,0724718905281;62,7767937226883;52,2971218920921;54,1833893377295;54,7768297637699;43,3667788204031;33,4096711859204;
AM;13;Amazonas;31,2243872706186;31,8037173692192;37,3762957602426;36,1599303490233;41,6105136396057;37,7394463721024;38,3631991240405;
AP;16;Amapá;30,6124114960975;34,0921954175489;38,2161285105541;48,7028550610778;47,1046041983559;51,3566101743909;42,6849672058831;
BA;29;Bahia;36,8050357424912;38,8789251038355;38,8191123420047;46,2211206366572;49,9936677399444;45,0629351991012;40,4220677057486;
CE;23;Ceará;50,9422029267695;52,3092746854207;46,736790568209;40,6307109046839;60,2351521791514;53,9906292101061;26,4671414326427;
DF;53;Distrito Federal;30,0025701126;29,5543498534;25,4560300258;25,5272039382;20,8116048238;17,8169047465;15,9189829892;
ES;32;Espírito Santo;42,116328581331;41,4155948118535;36,8454868731479;31,8595001078335;38,7482259503137;29,3022735946262;25,8295696315945;
GO;52;Goiás;44,8862053873403;43,1535412194466;44,4432141126765;44,3259299969758;41,6587051601136;38,0716472279699;31,6170999638909;
MA;21;Maranhão;31,5705765758614;35,7036874202035;35,1085657079206;34,239109489797;30,868663345422;28,0026240022273;23,9711181947142;
MG;31;Minas Gerais;22,5703862935201;22,4944578941733;21,5103402251605;21,7787209561413;20,3552332558636;15,8027347238449;13,5954859207638;
MS;50;Mato Grosso do Sul;24,0760197415413;26,7650066874018;23,9873479981601;25,055018202299;24,2231871289068;20,7700315821417;17,7232004273701;
MT;51;Mato Grosso;36,1080828996472;41,9620629455765;36,6869312453761;35,5464825469738;32,3056051401855;28,617099719405;25,6567290368072;
PA;15;Pará;42,4543731775821;42,5505987920231;44,8664606968172;50,7490460277052;54,1231426394543;52,88604962744;39,0367472979626;
PB;25;Paraíba;39,060693778216;38,7692524583261;38,0396130583363;33,5549074051948;33,7406279178664;31,0271798095017;23,3939843116105;
PE;26;Pernambuco;33,3060036596457;35,5458409857233;40,4038761184669;46,2470202976815;56,3893656016248;43,4379980232336;35,5129725414854;
PI;22;Piauí;18,6720077635139;22,2875641984031;20,1885390446261;21,7867507839161;19,1567400156199;18,5503970368486;16,938992365808;
PR;41;Paraná;26,0150862039593;26,4580559050131;25,969667893718;26,9952467018636;24,2942437826107;21,2266576155835;18,0427475807427;
RJ;33;Rio de Janeiro;28,9385313704219;32,1726729714128;28,9063286914325;34,0165987055897;35,0468420162113;35,2914575558593;19,7915510059764;
RN;24;Rio Grande do Norte;42,8873024242339;46,9991125323789;44,8846334189227;53,3525486921243;63,8426925329599;52,4287081669651;38,3534753238842;
RO;11;Rondônia;27,5428853139822;32,7130624059021;33,4810950580201;38,5502207545629;31,653255278327;26,7411778294163;25,0390355751112;
RR;14;Roraima;43,845989935892;31,7957345418088;40,144440884835;39,6710415009567;45,3477422127025;71,8041930874028;38,6290962937643;
RS;43;Rio Grande do Sul;20,7949531607361;24,3028049167594;26,180296516755;28,5811695910874;29,4043004410131;23,8287851901748;19,2012896514451;
SC;42;Santa Catarina;11,8555456204884;13,3620278905459;13,8584988421107;14,139645402661;15,1815008026596;11,8958125321984;10,6413708213806;
SE;28;Sergipe;43,0394113483619;48,7032807809344;57,647346260365;64,172189785517;57,9905071001812;49,7298872672038;42,2848432328787;
SP;35;São Paulo;13,4940561224891;13,7071983024946;11,9491509007726;10,625769795686;10,0576742612914;8,00633550154827;7,18655998298624;
TO;17;Tocantins;23,3397647351733;24,9196791307496;32,4723753806639;36,9234301997101;35,9059420431153;36,1361574404805;28,4830366986161;
