Sigla;Código;Estado;2012.01;2012.02;2012.03;2012.04;2012.05;2012.06;2012.07;2012.08;2012.09;2012.10;2012.11;2012.12;2013.01;2013.02;2013.03;2013.04;2013.05;2013.06;2013.07;2013.08;2013.09;2013.10;2013.11;2013.12;2014.01;2014.02;2014.03;2014.04;2014.05;2014.06;2014.07;2014.08;2014.09;2014.10;2014.11;2014.12;2015.01;2015.02;2015.03;2015.04;2015.05;2015.06;2015.07;2015.08;2015.09;2015.10;2015.11;2015.12;2016.01;2016.02;2016.03;2016.04;2016.05;2016.06;2016.07;2016.08;2016.09;2016.10;2016.11;2016.12;2017.01;2017.02;2017.03;2017.04;2017.05;2017.06;2017.07;2017.08;2017.09;2017.10;2017.11;2017.12;2018.01;2018.02;2018.03;2018.04;2018.05;2018.06;2018.07;2018.08;2018.09;2018.10;2018.11;2018.12;2019.01;2019.02;2019.03;2019.04;2019.05;2019.06;2019.07;2019.08;2019.09;2019.10;2019.11;2019.12;
AC;12;Acre;2371;2189;2618;1694;2140;2344;2206;2380;2153;2496;2420;3442;2913;2269;2311;2048;2354;2165;2399;2477;1999;2367;2155;2028;2198;2105;2575;2271;2321;2282;2531;2273;2354;2683;2637;2551;2620;2593;2468;2239;2104;2223;2319;2290;2758;2496;2579;2295;2175;2205;2463;2106;2054;1825;2113;1956;1902;2036;2393;1962;2330;2240;2434;1771;2143;1869;1806;1907;1563;1758;1865;1661;2078;2197;2029;1438;2071;1633;1670;2038;1645;1977;2038;2073;2352;2043;2175;1715;1991;1848;2251;2003;1779;2329;2498;2098;
AL;27;Alagoas;10451;11406;29287;21498;10686;9721;9353;10356;7767;8526;9811;10048;11430;15917;23623;22136;12554;10150;9079;8841;8436;8746;9358;7838;14601;9438;18008;21245;16671;9104;9370;8412;8922;9031;8723;9045;11223;9355;10917;21773;18366;9507;9113;8710;8451;8826;7552;8895;10227;16472;16606;14322;8229;7576;7846;7759;6583;6647;8276;7434;13812;17022;15290;9893;7207;6766;6325;7293;5941;5890;6686;7199;9852;17774;14099;10051;8113;6763;6570;7768;6412;6739;7794;8062;12927;10444;16697;11656;8323;8261;8033;8482;7154;7594;7227;7218;
AM;13;Amazonas;17054;15033;17078;15778;17074;15506;15754;17562;14599;16168;16080;17643;17179;16414;15841;18502;17547;15115;17361;18428;17386;17164;15705;15328;18757;16532;16981;18424;20005;15158;18144;16686;16590;18555;14553;16491;16558;16147;16763;17619;16310;16176;15662;15053;14569;14232;13041;16246;14015;12044;13597;11648;10821;11016;10679;10890;9894;10390;11510;12638;11988;11059;11020;9366;10626;9516;8182;9674;9396;8299;9138;9275;11678;9936;9230;10296;10284;9059;9211;9861;9109;10167;10558;9946;12250;9548;10059;10065;10599;9831;11177;10266;10501;11704;10046;12599;
AP;16;Amapá;2307;2110;2609;1915;2056;2637;2229;2449;2134;2629;2510;2769;2913;2400;2560;2532;2638;2863;2782;3015;2271;2975;2747;2397;2809;2942;3665;2592;2877;2378;2689;2376;2479;2708;2365;3371;3124;2374;2424;2272;2723;2326;2295;2192;1932;1873;1807;2109;1845;2392;1931;1198;2306;1819;1658;1643;1541;1384;1480;1677;1836;1434;1508;885;1549;1836;1654;1739;1457;1393;1586;1716;1594;1595;1613;1056;1419;2199;1640;1530;1254;1605;1677;2062;1975;1607;1617;1298;1648;1699;2224;1595;1587;1761;1577;1795;
BA;29;Bahia;60704;58980;66398;61564;66242;63719;63639;67168;55916;67727;57766;66347;65605;60606;63361;64558;66872;61769;64576;66056;62023;72573;56972;53983;65000;61914;61276;63835;65699;60866;67751;62810;65599;70567;57679;67809;65408;62923;63647;61826;63214;60991;62488;58584;55190;58297;51802;58392;47286;49349;55391;51158;50754;51308;53264;53249;44181;48841;51554;51802;48138;45721;48516;39951;46353;44649;44455;45578;41473;42204;44585;48997;42937;42921;46589;46392;46488;46184;44663;46155;40460;47515;45387;51206;47293;43350;44173;45212;49069;44560;53153;50786;45002;53257;50434;53523;
CE;23;Ceará;41420;34097;40457;36393;38776;37415;37362;40216;34424;39793;37330;33655;46295;38184;40446;40213;43594;37841;42491;40284;38040;41309;38287;30875;45422;40376;40647;40742;42971;40440;43688;39812;40512;44034;41749;37761;47460;42080;42058;42938;42737;41314;43295;41740;40095;39990;38836;34943;40770;36448;40941;36139;37555;35841;36160;35084;30641;32100;31656;30060;38627;32358;35376;28335;32701;31084;29439;31465;28613;28695;27574;27003;33237;28957;29720;29348;31288;29257;29616;30586;26992;30356;28745;28995;34814;32164;31747;28582;31999;29532;32089;30814;27472;30651;27402;26114;
DF;53;Distrito Federal;25927;24596;27981;24405;29582;30383;28529;29441;25872;27480;26491;25771;28375;26663;27391;27821;31538;30540;31217;30231;27306;30510;27039;29617;30863;31239;28568;26856;33552;31502;31905;29043;29671;31440;28521;30646;29220;27333;26577;23557;26701;27461;28113;26989;24387;22820;21532;25432;22700;22586;24022;19246;24618;24383;24212;22525;21323;20278;19455;24095;23079;20539;21160;15220;21874;22285;19737;21864;18993;19558;18433;20519;19951;20374;21847;18904;23788;20989;22844;22554;19444;22227;19878;22872;22608;21869;22392;19237;24238;23910;23240;23634;23379;26214;21577;25631;
ES;32;Espírito Santo;34738;34980;36664;33649;39742;43331;36402;38448;31932;33980;33763;34749;40771;37272;37674;36848;44750;40606;40467;38314;32713;36327;33783;31004;37749;38641;37026;37135;41223;39951;39253;37411;34367;35784;34931;37549;35853;35651;37492;34750;37026;36188;35393;32272;28070;28027;26866;31171;26541;28986;31128;25503;29596;30042;27461;27174;23124;21904;24452;26770;24772;22709;27671;20564;25278;25825;24325;28211;20825;21859;22318;25754;24598;24184;26053;23695;27447;28165;27334;28814;22956;24808;23067;25908;26897;27184;27321;25308;29422;29821;32414;28109;23444;26989;23926;25903;
GO;52;Goiás;51818;50594;53083;51965;54546;55177;56168;57899;53923;60000;64624;61845;58588;53999;54994;58782;59962;57681;61937;62065;55565;63859;61223;60027;59208;55639;58531;59702;62097;58301;60488;57800;60383;64201;61548;69143;57968;53092;54047;54630;54753;54901;54653;52492;52327;52580;53550;55459;45130;44619;47998;47550;44207;46677;45924;44891;46301;50161;48509;46293;44544;40924;44660;40040;43879;44200;41708;45836;46478;46155;46564;47937;45041;44136;45272;44812;46794;44434;42514;46808;43321;50623;48682;48814;46383;45418;45685;46001;48309;45567;47098;46671;44787;51546;50142;51968;
MA;21;Maranhão;17181;15674;16112;14191;15727;16454;15810;17308;13544;17243;16815;18422;18755;15824;17094;16849;17464;16703;16449;17213;15505;15158;15702;15118;19374;16547;17550;15876;16759;15990;16739;15675;14205;19036;19299;17225;18300;16198;16417;15480;18831;15142;15222;15736;13932;15466;14692;16102;14159;15376;14493;12866;12520;12539;12383;12851;12282;11298;13320;13113;13196;12397;13166;10068;11807;10740;10648;11447;11268;10874;12010;10704;12252;10675;10653;10633;12128;10703;10520;12221;10106;11890;11519;10688;12105;12081;11701;11640;12037;11424;12174;12031;11444;11133;11302;12799;
MG;31;Minas Gerais;174393;174458;197326;179830;189944;190661;200635;216702;199118;201927;190805;198211;194990;183520;196347;197824;200637;194803;209404;206786;197098;209946;188961;179300;189544;189315;194591;194259;200630;180819;208173;198218;198340;195052;178356;195437;181438;178804;184638;171159;171127;168146;180568;170528;169325;158925;145271;163668;139061;140506;155987;140546;141088;142191;150237;153015;142417;131018;132501;146299;136695;129713;144115;120781;136267;131481;135630;148877;130160;128411;126324;137000;131395;127298;136431;131418;138857;131388;140903;150480;134941;147427;130523;142853;140224;138702;139766;140085;151736;137518;153280;150104;146552;145753;137076;146989;
