Sigla;Código;Estado;2012.01;2012.02;2012.03;2012.04;2012.05;2012.06;2012.07;2012.08;2012.09;2012.10;2012.11;2012.12;2013.01;2013.02;2013.03;2013.04;2013.05;2013.06;2013.07;2013.08;2013.09;2013.10;2013.11;2013.12;2014.01;2014.02;2014.03;2014.04;2014.05;2014.06;2014.07;2014.08;2014.09;2014.10;2014.11;2014.12;2015.01;2015.02;2015.03;2015.04;2015.05;2015.06;2015.07;2015.08;2015.09;2015.10;2015.11;2015.12;2016.01;2016.02;2016.03;2016.04;2016.05;2016.06;2016.07;2016.08;2016.09;2016.10;2016.11;2016.12;2017.01;2017.02;2017.03;2017.04;2017.05;2017.06;2017.07;2017.08;2017.09;2017.10;2017.11;2017.12;2018.01;2018.02;2018.03;2018.04;2018.05;2018.06;2018.07;2018.08;2018.09;2018.10;2018.11;2018.12;2019.01;2019.02;2019.03;2019.04;2019.05;2019.06;2019.07;2019.08;2019.09;2019.10;2019.11;2019.12;
AC;12;Acre;2131;2250;2038;2664;2952;2747;2680;2838;2052;2203;1867;1522;2410;2162;1983;2468;2925;2364;2504;2430;2267;2358;2171;1338;2126;2413;1703;2158;2643;2651;2943;2540;2264;2298;2112;1866;2154;2016;1968;2334;2297;2318;2236;3469;2636;1763;1825;1322;1889;1674;1825;1643;2201;2016;2878;1927;1837;1700;1386;1320;2355;1996;1889;1442;2343;2120;2045;2048;1780;1542;1522;1269;1709;1769;1872;1668;1880;1822;2041;1866;1930;2184;1734;1362;1575;2084;1858;2092;2362;2095;2452;2263;2271;1962;1885;1539;
AL;27;Alagoas;10188;8244;8255;8224;8579;9818;9522;10381;35339;13945;12699;7435;9337;8144;8049;8490;9101;9168;10431;9968;24721;24699;13025;7368;9906;9454;7876;8924;8091;8454;9749;12661;22670;16766;13000;8773;9978;8848;10421;8504;8739;7861;8324;11215;19658;15282;10692;7679;8285;6387;6734;7220;7416;6672;6298;11858;19978;12479;8560;5441;7106;5619;5955;5885;7056;6610;6184;6869;13352;22283;8154;5927;7663;7076;7100;7486;8528;6629;7704;11658;21591;10117;8005;6522;7893;8189;7061;6964;7577;7400;9503;11980;23683;9884;8554;6059;
AM;13;Amazonas;15710;14561;16317;16263;16292;17110;17637;18809;16361;17717;14810;10014;17193;16442;17162;18452;17601;17449;20696;20527;19998;21604;17794;9716;16099;16607;16509;16780;17401;14446;18164;16878;17261;17693;14999;11369;14430;14130;15131;13720;11552;12317;12940;13420;12959;10463;9792;7610;9358;9354;10006;9603;9897;9785;10007;11873;10389;10899;10431;7606;10562;9285;9320;9106;10401;9415;10070;11031;9692;10904;9533;7273;10906;9991;9778;10063;9073;9688;10494;11653;10923;11351;10846;8344;11539;10973;10216;11708;11661;11514;13305;12171;12167;12355;11635;8642;
AP;16;Amapá;2440;2112;2470;2494;2212;2880;3035;3465;2654;2535;2787;1810;2884;2645;2824;3115;2814;2632;2919;3382;2746;3266;2658;1680;2599;2414;2359;3052;2158;2211;2915;2677;2742;2933;2804;1824;1984;1819;1755;2238;1684;1899;2071;1985;1765;1869;1970;1471;1475;1390;1410;1248;1388;1873;1253;1583;1247;1500;1328;1317;1505;1423;1458;1101;1500;1929;1857;1699;1235;1344;1311;1306;1939;1696;1431;1466;1308;1663;2182;2079;1788;1784;1755;1498;1513;1686;1665;1525;1365;1534;2246;1666;1769;2181;1810;1404;
BA;29;Bahia;67565;57361;68641;69411;69313;63960;65848;67610;59395;62841;63461;50074;64977;59530;63736;74744;71440;63205;67856;70011;68226;70154;64934;43746;68994;69334;61907;64717;73904;58302;67626;66900;68762;64360;60583;47060;62536;56123;62480;60933;55795;51867;54281;51731;50830;47888;45798;39424;46099;43537;50588;48136;44702;43332;45979;49733;43850;43240;44007;35530;47993;44017;45596;47143;49319;43359;45302;48068;43770;42168;43439;36540;48484;42885;50740;48368;52423;44421;46335;51019;48969;48140;46351;39501;48504;49056;46742;55305;51609;46922;50878;54178;49567;52668;54392;42149;
CE;23;Ceará;38756;37764;38870;38591;39539;41341;44057;45313;43250;43727;41819;28439;41595;41244;39421;44235;45600;48967;45391;47065;46321;48098;47036;28701;41711;47607;38647;45205;46149;40340;45749;49329;50623;51397;49781;33560;40880;40053;41701;39391;41058;42536;39884;42611;38587;35203;34917;24823;32624;32277;36240;33873;34649;33915;31483;35490;31634;29964;30991;23354;31191;32422;30701;27660;29761;31217;31310;36440;30774;31613;30435;22440;34890;28582;29958;32446;33327;29982;30410;35247;33347;34025;30994;23514;29832;34029;27109;30735;30571;29410;32979;35339;33795;34147;32262;22718;
DF;53;Distrito Federal;28434;28791;29831;28837;29679;30636;29090;30871;25897;26860;25943;21084;29223;29700;29792;31897;29606;30297;31678;31184;29475;30825;27571;22423;30967;36420;30122;31016;32492;31969;31017;31706;32070;28945;27946;20729;25619;26922;28763;24610;25070;25740;26489;26945;23865;20480;19864;15801;19202;20111;23514;20448;20295;21500;20857;20796;19599;17874;18779;17941;20202;22877;20484;17265;20849;19801;20945;23269;19508;19774;18432;16461;22782;21643;22463;22824;24862;21473;22663;25346;22739;22716;21208;18381;24015;25098;22037;23214;24738;24520;25161;25734;24918;24849;24293;20434;
ES;32;Espírito Santo;36226;35390;40784;43488;44280;37925;39003;37947;34659;36389;35708;29043;39402;37064;39854;45308;46255;39641;38533;41550;37472;38872;35499;25222;36827;42807;36771;41967;47313;35854;38772;38990;38440;36108;36201;28746;34732;32590;36008;33477;34925;29053;29727;27769;25668;24656;23440;20323;23608;24821;27460;25969;30822;23614;23088;22312;21215;20077;22240;19320;25498;20632;26877;24112;29395;24359;22484;25364;21149;23414;22507;19773;27738;24631;27833;26460;32448;26603;26693;28426;26297;25720;26315;21873;29505;30725;26478;28189;38806;28669;28297;28488;26373;28902;26542;22057;
GO;52;Goiás;59894;60934;65798;69111;62559;60438;60160;61903;55530;58329;55975;40445;64595;65674;63026;77458;64470;65551;63960;64740;60725;61859;52826;36851;63304;68193;60629;70302;69670;61823;63270;60768;62519;60521;55020;38605;57731;57551;60223;56915;55086;56764;51745;51633;47919;42714;41645;31880;43512;46946;51329;52720;44360;50046;44392;45847;41809;39846;39386;31022;49311;47773;48964;47210;51323;48995;46453;47670;42985;44484;40401;33592;50773;49273;50584;53603;47905;46607;46632;51529;46586;47058;42522;35472;50160;51415;48397;52497;51105;47644;49742;50725;49506;52058;45555;35879;
MA;21;Maranhão;16281;14863;14475;14816;17457;18319;19210;18742;15376;17265;16497;10595;15522;14607;16365;16113;15628;17437;18025;20748;18418;18721;16355;9314;14854;15681;14913;15442;17455;17169;20180;19593;17757;16244;15331;11416;14210;13938;15758;14745;17569;17143;17343;16683;14153;13155;11457;8778;10918;9543;12186;9835;12324;12556;12597;15097;10684;10888;11572;8366;11047;10434;10365;8909;12589;12271;12215;13181;11259;11806;11707;9717;11666;10303;11670;11965;14203;13510;12373;12155;11835;12554;11239;7770;10739;11099;10871;18321;11931;13425;12199;13526;13205;14353;12465;9378;
