Sigla;Código;Estado;2012 T1;2012 T2;2012 T3;2012 T4;2013 T1;2013 T2;2013 T3;2013 T4;2014 T1;2014 T2;2014 T3;2014 T4;2015 T1;2015 T2;2015 T3;2015 T4;2016 T1;2016 T2;2016 T3;2016 T4;2017 T1;2017 T2;2017 T3;2017 T4;2018 T1;2018 T2;2018 T3;2018 T4;2019 T1;2019 T2;2019 T3;2019 T4;2020 T1;2020 T2;2020 T3;2020 T4;2021 T1;2021 T2;2021 T3;2021 T4;
AC;12;Acre;2286;1888;1930;1986;1965;1848;1901;1872;1860;1836;1799;1801;1929;1833;1713;1753;1902;1741;1711;1812;2017;1785;1773;1739;1872;1693;1794;1791;2047;1794;1834;1893;1953;1892;1958;2263;2319;2166;2380;2214;
AL;27;Alagoas;1395;1378;1407;1323;1423;1380;1401;1427;1567;1421;1438;1539;1532;1508;1498;1500;1573;1415;1408;1445;1519;1377;1340;1426;1538;1504;1491;1608;1656;1619;1530;1515;1764;1469;1500;1835;1893;1753;1874;1822;
AM;13;Amazonas;2064;2004;1958;1931;1971;1921;1871;1995;1989;1986;1970;1960;1994;1871;1848;1881;1939;1778;1718;1678;1857;1811;1848;2019;1805;1736;1700;1648;1759;1674;1739;1759;1864;1896;1896;2094;1971;1899;1817;1823;
AP;16;Amapá;1891;1906;1869;2015;1873;1882;2051;2154;2205;2053;2175;2163;2146;1997;2009;2174;2261;2197;2193;2278;2495;2489;2448;2116;2319;2039;1937;1930;1967;1912;1920;1970;2110;1950;2242;2356;2381;2308;2322;2297;
BA;29;Bahia;1584;1422;1409;1416;1476;1431;1439;1481;1577;1463;1498;1480;1556;1512;1506;1509;1627;1398;1414;1442;1665;1511;1440;1628;1737;1533;1548;1619;1666;1537;1525;1643;1797;1628;1630;1832;1839;1755;1677;1628;
CE;23;Ceará;1425;1377;1409;1388;1463;1459;1502;1429;1508;1450;1441;1417;1448;1447;1428;1436;1536;1414;1365;1427;1520;1406;1450;1521;1576;1491;1569;1540;1662;1584;1641;1685;1823;1704;1565;1873;1930;1745;1856;1805;
DF;53;Distrito Federal;4678;4255;4259;4420;4521;4344;4200;4394;4442;3961;3876;4083;4418;4272;4176;4306;4524;4105;4156;4077;4362;4004;4063;4284;4474;4037;4000;4196;4572;3967;3959;4179;4321;3838;4144;4742;4997;4673;4404;4498;
ES;32;Espírito Santo;2087;2027;2020;2034;2116;2032;2101;2154;2186;2077;2051;2181;2158;2152;2131;2193;2313;2076;2085;2128;2327;2118;2086;2161;2241;2012;2113;2213;2333;2152;2173;2257;2365;2077;2161;2617;2738;2472;2512;2594;
GO;52;Goiás;2166;2088;2155;2164;2201;2155;2227;2215;2204;2166;2204;2238;2267;2106;2154;2110;2184;2049;2083;2144;2310;2138;2122;2251;2307;2119;2102;2193;2290;2117;2089;2204;2375;2135;2206;2592;2663;2581;2543;2496;
MA;21;Maranhão;1198;1140;1172;1155;1214;1228;1191;1130;1180;1063;1065;1165;1160;1130;1150;1169;1188;1147;1196;1200;1298;1288;1334;1345;1348;1302;1334;1385;1442;1303;1320;1372;1446;1322;1364;1584;1709;1554;1627;1524;
MG;31;Minas Gerais;2062;1904;1930;1925;2114;1903;1948;2034;2219;1978;2022;2020;2193;1945;1939;2035;2236;1928;1912;2025;2118;1912;1965;2050;2206;1981;1970;2032;2116;1951;1963;2124;2267;1970;2010;2447;2570;2326;2311;2349;
MS;50;Mato Grosso do Sul;2301;2070;2046;2123;2236;2068;2165;2205;2261;2172;2158;2129;2190;2050;1971;2132;2385;2026;2134;2260;2448;2185;2249;2243;2544;2239;2265;2358;2667;2314;2280;2386;2551;2365;2476;2921;3118;2728;2630;2716;
MT;51;Mato Grosso;2452;2169;2204;2217;2352;2270;2231;2289;2266;2323;2278;2271;2267;2240;2195;2174;2317;2203;2196;2158;2441;2227;2286;2294;2533;2297;2318;2379;2455;2358;2265;2371;2507;2367;2420;2879;2817;2698;2611;2643;
PA;15;Pará;1618;1549;1532;1590;1608;1571;1597;1566;1609;1570;1575;1534;1577;1419;1450;1469;1584;1458;1469;1463;1651;1425;1493;1483;1720;1504;1540;1542;1680;1516;1549;1675;1800;1711;1625;1973;2003;1917;1875;1775;
PB;25;Paraíba;1395;1337;1295;1312;1368;1382;1417;1428;1552;1506;1498;1537;1572;1523;1526;1511;1623;1440;1541;1592;1776;1578;1594;1699;1798;1668;1661;1695;1783;1687;1666;1701;1812;1621;1867;2482;2204;1850;1885;1862;
PE;26;Pernambuco;1861;1885;1847;1896;1964;1914;1986;2044;2151;2107;1881;2010;1942;1808;1719;1707;1853;1685;1701;1723;1880;1745;1801;1713;1876;1757;1713;1726;1917;1759;1715;1756;1916;1633;1702;1932;2016;1975;1813;1786;
PI;22;Piauí;1328;1230;1283;1239;1343;1306;1419;1443;1483;1382;1361;1379;1444;1377;1360;1425;1530;1416;1377;1396;1583;1420;1406;1412;1516;1373;1368;1429;1597;1432;1390;1358;1529;1367;1451;1763;1803;1591;1679;1765;
PR;41;Paraná;2489;2314;2370;2336;2475;2378;2420;2421;2573;2436;2423;2513;2559;2456;2438;2409;2542;2304;2349;2487;2645;2390;2409;2498;2637;2422;2452;2546;2813;2481;2532;2657;2861;2440;2496;3278;3236;2936;2804;2825;
RJ;33;Rio de Janeiro;2545;2393;2343;2321;2448;2395;2487;2515;2593;2364;2235;2359;2492;2481;2497;2553;2789;2548;2493;2499;2668;2419;2449;2488;2689;2595;2632;2704;3022;2723;2797;2924;3215;2945;3101;3540;3864;3498;3116;3096;
RN;24;Rio Grande do Norte;1580;1478;1489;1469;1568;1539;1503;1554;1688;1561;1570;1561;1757;1632;1667;1763;1776;1661;1623;1761;1928;1645;1613;1576;1773;1656;1602;1666;1826;1701;1799;1986;2141;1943;1839;2072;2243;2154;2096;2024;
RO;11;Rondônia;1951;1811;1859;1805;1852;1742;1803;1839;1863;1839;1883;1870;1882;1860;1809;1858;1877;1743;1763;1772;1844;1773;1832;1891;2058;1944;2074;1991;1978;1976;2049;2080;2171;2038;1936;2221;2214;2115;2280;2232;
RR;14;Roraima;2275;2263;2311;2237;2431;2418;2468;2301;2379;2294;2396;2331;2650;2288;2195;2115;2332;2184;2322;2233;2382;2132;2257;2234;2415;2194;2307;2190;2340;2290;2404;2255;2489;2421;2507;2752;2582;2215;2266;2357;
RS;43;Rio Grande do Sul;2507;2316;2376;2407;2578;2488;2574;2576;2663;2567;2470;2492;2691;2455;2359;2486;2759;2473;2481;2512;2775;2507;2537;2537;2787;2557;2471;2549;2850;2561;2578;2653;2899;2516;2635;3016;3389;3137;2926;2892;
SC;42;Santa Catarina;2544;2315;2393;2417;2445;2373;2411;2477;2520;2372;2428;2535;2572;2446;2413;2464;2563;2258;2344;2442;2645;2419;2474;2572;2699;2460;2482;2584;2717;2498;2553;2669;2837;2598;2594;3232;3419;3113;3043;2965;
SE;28;Sergipe;1832;1624;1601;1629;1788;1730;1715;1716;1858;1991;1835;1800;1822;1708;1664;1629;1779;1752;1683;1770;1927;1689;1627;1588;1799;1559;1653;1655;1768;1584;1587;1602;1816;1664;1634;2163;2066;2034;1973;1953;
SP;35;São Paulo;2822;2716;2752;2809;2914;2886;2846;2816;3004;2879;2924;2957;3058;3019;2935;3071;3240;2860;2902;3111;3298;2960;2971;3110;3220;2934;2931;3061;3215;2934;2945;3123;3379;2908;3158;3526;3749;3342;3252;3158;
TO;17;Tocantins;1892;1814;1821;1761;1808;1827;1690;1721;1770;1771;1720;1817;1941;1903;1910;1835;2015;1804;1774;1879;1959;1875;1849;1892;2033;1893;1964;1913;2023;1870;1858;1912;2041;1953;1872;2217;2373;2197;2373;2176;
