Percentual de 15 a 17 anos de idade na escola  (Atlas DH - PNADC/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;82,87;84,67;83,77;85,19;84,25;81,53;84,17;85,05;92,94;87,4;
AL;27;Alagoas;81,61;80,15;81,94;81,07;81,36;82,46;82,46;83,35;84,21;92,43;
AM;13;Amazonas;82,12;87,88;83,18;84,22;88,42;87,94;85,56;87,61;90,4;92,62;
AP;16;Amapá;86,66;89,4;83,98;84,65;88,22;89,13;86,78;90,79;88,82;94,85;
BA;29;Bahia;82,77;87,46;85,63;86,96;85,08;85,99;87,98;88,77;90,64;94,09;
CE;23;Ceará;83,05;81,47;80,7;82,6;84,32;86,61;86,46;88,94;92,04;88,47;
DF;53;Distrito Federal;85,65;87,41;90,04;88,55;94,13;90,66;92,49;89,84;93,51;95,38;
ES;32;Espírito Santo;81,18;82,44;85,56;84,19;85,11;82,92;88,2;85,12;88,85;93;
GO;52;Goiás;84,5;82,4;81,82;86,13;88,11;83,25;88,78;86,67;92,95;94,81;
MA;21;Maranhão;83,16;84,28;84,4;84,51;88,05;84,83;84,77;86,66;89,03;92,27;
MG;31;Minas Gerais;85,36;83,27;85,51;84,05;88,19;88,69;90,8;89,1;91,96;93,33;
MS;50;Mato Grosso do Sul;79,7;81,89;75,72;77,64;84,04;89,55;87,99;88,41;91,79;88,08;
MT;51;Mato Grosso;85,42;84,2;84,29;83,59;86,14;87,62;84,91;88,39;94,08;91,29;
PA;15;Pará;86,24;84,6;86,49;85,94;86,81;85,67;86,5;87,47;87,62;91,74;
PB;25;Paraíba;82,06;80,34;81,81;82,88;84,73;85,62;87,82;83,08;89,08;90,08;
PE;26;Pernambuco;83,96;83,33;82,14;83,14;84,48;84,59;87,54;87,48;89,17;91,03;
PI;22;Piauí;88,21;85,1;88,23;84;88,88;89,12;90,57;87,14;90,84;91,31;
PR;41;Paraná;79,21;81,92;80,18;82,91;84,56;83;86,09;87,68;92,1;93,24;
RJ;33;Rio de Janeiro;88,46;89,05;87,6;89,44;88,96;91,48;91,81;91,28;94,1;95,73;
RN;24;Rio Grande do Norte;83,36;84,26;80,15;84,76;84,5;87,66;87,88;88,85;94,59;94,66;
RO;11;Rondônia;81,5;81,01;81,27;87,31;84,29;84,91;84,13;88,22;93,89;90,83;
RR;14;Roraima;85,41;88,24;87,98;86,05;89,55;87,55;90,63;89,73;91,48;97,14;
RS;43;Rio Grande do Sul;82,32;86,38;85,12;85,32;87,05;88,29;89,52;92,89;94,7;95,89;
SC;42;Santa Catarina;83,05;80,7;81,08;85,62;85,57;86,33;90,78;93,36;94,65;93,28;
SE;28;Sergipe;83,32;85,45;85,59;84,86;85,8;88,23;89,29;88,01;90,71;91,09;
SP;35;São Paulo;84,94;84,31;83,99;87,72;88,16;87,66;86,25;87,26;88,45;92,4;
TO;17;Tocantins;84,56;84,92;89,23;83,74;86,5;90,42;87,33;90,54;94,41;94,8;
