Percentual de 18 a 20 anos de idade com ensino médio completo  (Atlas DH - PNADC/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;51,04;46,5;49,68;51,41;51,19;46,91;55,06;55,09;60,68;50,11;
AL;27;Alagoas;32,19;34,27;39,11;37,59;42,31;41,09;45,21;39,56;44,75;46,15;
AM;13;Amazonas;37,06;37,66;43,59;43,25;47,4;51,08;48,85;51,78;60,45;51,67;
AP;16;Amapá;44,41;52,4;43,87;47,51;46,21;48,4;53,99;55,61;47,79;44,77;
BA;29;Bahia;34,69;33,47;37,68;39,86;42,24;42,03;44,66;43,67;47,97;44,82;
CE;23;Ceará;46,85;48,46;49,73;52,98;51,93;54,5;59,27;57,54;64,45;67,14;
DF;53;Distrito Federal;60,7;67,45;64,44;59,71;66,88;65,23;65,26;70,58;70,95;66,01;
ES;32;Espírito Santo;54,76;55,12;53,38;52,7;53,46;52,24;57,46;56,87;59,84;53,64;
GO;52;Goiás;51,76;51,28;56,56;54,72;61,19;58,77;59,99;65,33;70,12;66,11;
MA;21;Maranhão;37,87;41,15;37,7;42,6;46,06;49,35;47,73;52,82;58,15;54,17;
MG;31;Minas Gerais;50,07;52,04;54,13;55,8;59,59;58,57;58,6;63,3;62,28;64,43;
MS;50;Mato Grosso do Sul;41,09;45,42;44,21;44,05;46,89;50,01;50,41;53,01;55;58,01;
MT;51;Mato Grosso;47,81;53,29;55,65;58,02;57,02;52,73;61,17;59,83;55,9;58,18;
PA;15;Pará;32,86;32,36;34,52;40,68;34,96;41,24;44,01;43,46;51,76;49,06;
PB;25;Paraíba;40,13;37,09;42,2;48,27;48,33;51,89;50,67;46,69;45,93;50,08;
PE;26;Pernambuco;40,41;44,67;43,45;51,01;47,83;50,07;57,81;58,8;63,77;59,16;
PI;22;Piauí;37,73;41,05;45,16;44,82;38,68;49,64;50,44;56,78;58,87;57,19;
PR;41;Paraná;56,54;57,69;60,8;61,24;60,83;59,98;63,96;64,05;68,67;65,52;
RJ;33;Rio de Janeiro;48,75;46,45;52,21;56,25;55,05;56,2;60,35;59,13;59,28;57,6;
RN;24;Rio Grande do Norte;38,97;44,22;54,22;47,78;47,27;47,8;51,82;46,99;49,16;43,08;
RO;11;Rondônia;46,78;40,55;41,73;41,41;48,27;49,13;55,02;49,47;60,15;48,54;
RR;14;Roraima;53,31;46,08;53,61;56,49;58,49;54,83;61,04;55,64;56,85;51,6;
RS;43;Rio Grande do Sul;45,42;50,08;52,8;51,22;54,36;56,16;57,1;51,81;56,2;55,33;
SC;42;Santa Catarina;58,17;57,14;59,16;61,48;65,28;62,63;62,36;64,66;66,24;63,51;
SE;28;Sergipe;34,38;36,61;38,49;39,09;36,77;39,88;46,71;39,81;45,99;49,05;
SP;35;São Paulo;66,63;66,29;68,25;65,98;72,9;71,18;71,93;78,2;78,41;77,13;
TO;17;Tocantins;46,55;51,27;55,82;51,85;48,58;52,72;56,93;59,52;67,09;57,33;
