Percentual de 18 a 24 anos de idade com ensino fundamental completo  (Atlas DH - PNADC/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;77,11;77,03;79,97;80,66;84,92;81,59;85,51;85,24;90,79;88,88;
AL;27;Alagoas;65,37;64,68;69,11;69,75;72,87;72,83;75,16;75,12;78,09;82,72;
AM;13;Amazonas;74,49;75,66;76,85;79,5;83,38;81,3;83,6;86,38;88,91;89,41;
AP;16;Amapá;83,31;85,75;81,9;82,13;84,47;84,35;88,68;85,54;84,59;83,61;
BA;29;Bahia;69,99;71,56;71,87;75,42;78,05;75,88;75,91;80,3;85,9;84,87;
CE;23;Ceará;79,35;79,38;81,11;80,67;83,36;82,77;86,83;85,35;88,89;89,3;
DF;53;Distrito Federal;87,35;90,43;90,89;91,43;91,3;92,1;93;91,47;93,78;95,6;
ES;32;Espírito Santo;82,63;82,04;85,08;86,06;87,45;85,97;87,61;85,73;86,22;87,34;
GO;52;Goiás;85,84;85,69;85,39;85;89,99;86,41;90,16;90,71;94,65;93,57;
MA;21;Maranhão;74,54;74,8;76,66;78,75;80,27;80,64;81,31;84,41;87,89;88,15;
MG;31;Minas Gerais;82,82;83,94;83,86;85,6;87,46;88,61;89,2;89,62;92,57;92,36;
MS;50;Mato Grosso do Sul;77,57;79,01;77,25;77,39;81,23;82,26;83,04;82,21;85,39;87,01;
MT;51;Mato Grosso;84,12;86,13;86,61;90,01;92,48;88,33;91,59;93,28;93,84;96,26;
PA;15;Pará;70,17;70,21;73,2;76,28;76,34;77,58;77;79,34;84,25;81,49;
PB;25;Paraíba;71,06;67,1;69,73;76,27;75,32;75,17;76,77;78,74;81,63;83,84;
PE;26;Pernambuco;71,22;72,62;76,72;78,8;80,33;79,38;80,48;83,86;84,21;85,63;
PI;22;Piauí;73,59;74,04;74,5;76,73;74,62;80,1;82,22;82,83;82,96;86,33;
PR;41;Paraná;85,28;85,49;86,31;86,74;88,59;87,4;87,33;90,39;92,64;91,66;
RJ;33;Rio de Janeiro;85,4;85,12;87,09;87,93;87,71;89,11;90,15;90,37;92,69;90,35;
RN;24;Rio Grande do Norte;71,24;72,07;79,09;77,51;79,07;77,97;77,08;79,07;84,62;85,26;
RO;11;Rondônia;80,9;77,21;76,15;79,29;84,95;83,83;83,94;85,88;90,3;87,18;
RR;14;Roraima;87,44;85,89;86,44;87,27;87,4;90,43;89,44;91,31;92,83;88,33;
RS;43;Rio Grande do Sul;84,01;84,14;85,66;86,62;86,81;87,96;86,92;87,85;89,95;91,9;
SC;42;Santa Catarina;88,02;89,19;90,06;91,43;92,04;91,88;92,32;94,29;95,1;95,91;
SE;28;Sergipe;67,06;69,81;72,6;72,79;72,87;72,68;74,9;73,76;78,51;82,32;
SP;35;São Paulo;91,96;92,2;92,52;91,86;94,27;94,12;93,83;95,64;96,75;96,4;
TO;17;Tocantins;79,87;81,47;85,48;84,97;86,31;88,8;87,83;88,08;93,54;91,93;
