Percentual de 6 a 14 anos de idade na escola  (Atlas DH - PNADC/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;97,14;96,8;97,41;97,89;97,57;96,3;96,73;98,53;99,25;97,9;
AL;27;Alagoas;97,49;96,77;97,82;97,13;98,28;98,49;98,85;98,6;99,04;96,69;
AM;13;Amazonas;96,75;98,01;97,35;97,23;97,82;99,06;98,33;97,58;97,88;97,58;
AP;16;Amapá;96,46;96,97;97,59;98,12;98,23;98,24;99,28;97,61;98,66;97,41;
BA;29;Bahia;97,98;97,98;98,42;99;99,07;98,56;98,96;99,2;98,86;98,27;
CE;23;Ceará;98,12;98,3;98,63;98,36;98,81;99,06;99,33;98,98;99,05;98,68;
DF;53;Distrito Federal;97,95;98,33;98,22;98,6;98,98;99,17;99,43;99,17;98,71;98,75;
ES;32;Espírito Santo;98,22;98,13;98,4;98,81;99,17;99,31;98,8;99,42;99,45;98,87;
GO;52;Goiás;97,98;98,33;98,89;98,5;98,75;99,29;99,23;98,75;99,09;98,75;
MA;21;Maranhão;98,14;98,45;98,46;98,72;98,93;99,15;98,94;99,22;99,07;98,86;
MG;31;Minas Gerais;98,69;98,91;98,8;99,06;98,97;99,19;99,19;99,59;99,49;99,23;
MS;50;Mato Grosso do Sul;98,03;98,1;97,27;98,64;99,21;98,68;97,74;99,14;99,17;98,69;
MT;51;Mato Grosso;97,02;98,03;98,3;98,38;99,55;99;99,31;99,44;98,98;99,19;
PA;15;Pará;97,31;98,31;97,98;98,3;99,11;98,78;98,62;98,59;99,24;98,65;
PB;25;Paraíba;98,5;98,25;98,15;98,65;98,79;98,97;98,34;99;99,06;98,39;
PE;26;Pernambuco;97,66;97,44;98,03;98,8;98,99;98,69;99,4;99,3;99,27;98,27;
PI;22;Piauí;98,99;98,79;99,19;99,36;98,84;99,76;99,29;99,79;99,76;98,95;
PR;41;Paraná;97,78;98,52;98,19;98,61;98,98;99,17;99,16;99,34;98,98;99,13;
RJ;33;Rio de Janeiro;97,99;98,1;98,53;98,73;98,98;99,03;99,35;99,51;99,46;98,66;
RN;24;Rio Grande do Norte;97,66;98,1;98,82;98,76;98,34;99,1;98,69;99,12;99,38;98,5;
RO;11;Rondônia;96,67;97,68;97,18;98,59;98,61;99,28;98,37;99,65;98,74;98,12;
RR;14;Roraima;99,29;97,7;98,64;99,11;99,38;99,05;98,16;96,77;97,4;95,12;
RS;43;Rio Grande do Sul;98,3;98,12;98,54;98,54;99,16;99,19;99,38;99,59;99,6;99,58;
SC;42;Santa Catarina;98,19;98,45;99,05;99,02;99,63;99,73;99,62;99,51;99,39;99,16;
SE;28;Sergipe;98,28;97,45;98,69;98,79;98,72;98,57;99,52;99,14;99,29;98,73;
SP;35;São Paulo;98,76;98,67;98,85;99,06;99,32;99,23;99,32;99,63;99,33;99,42;
TO;17;Tocantins;97,57;97,01;98,7;98,84;99,71;99,6;99,5;98,85;100;98,86;
