Taxa de frequência líquida ao ensino superior  (Atlas DH - PNADC/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;13,34;16,32;16,09;19,14;18,76;17,8;19,65;20,16;19,23;17,44;
AL;27;Alagoas;10,58;11,06;11,46;12,19;13,87;13,23;16,63;12,51;11,43;13,63;
AM;13;Amazonas;13,77;12,04;14,57;15,7;15,47;17,32;15,5;17,65;16,37;14,52;
AP;16;Amapá;14,48;16,18;14,84;18;19,57;20,84;27,59;22,67;22,75;19,24;
BA;29;Bahia;9,71;9,27;11,73;11,86;13,17;12,31;13,41;13,72;15,75;14,07;
CE;23;Ceará;12,12;13,14;14,24;14,12;14,42;16,76;15,73;17,72;20,88;19,83;
DF;53;Distrito Federal;28,19;30,07;31,51;30,14;28,08;33,14;33,36;36,36;31,41;35,03;
ES;32;Espírito Santo;14,75;16,19;16,52;18,24;20,31;18,75;20,08;18,93;20,89;20,23;
GO;52;Goiás;18,29;17,95;21,08;21,33;20,95;21,58;23,46;22,56;26,48;24,54;
MA;21;Maranhão;8,08;7,5;8,82;9,77;10,94;12,37;12,75;12,71;13,48;13,25;
MG;31;Minas Gerais;16,61;17,24;18,65;20,95;20,34;19,4;19,58;20,26;19,1;20,43;
MS;50;Mato Grosso do Sul;16,86;19,71;19,8;19,8;22,05;21,96;18,38;18,19;23,7;22,22;
MT;51;Mato Grosso;17,43;19,77;19,53;21,08;19,39;22,11;21,35;20,97;22,28;20,01;
PA;15;Pará;8,28;9,47;10,25;11,49;10,65;12,74;15,21;15,15;19,29;14,39;
PB;25;Paraíba;16,35;14,24;15,81;18,21;18,24;19,38;19,19;16,01;18,23;16,7;
PE;26;Pernambuco;10,9;12,42;12,33;15,88;15,24;13,54;16,25;18,61;19,21;17,62;
PI;22;Piauí;12,47;15,94;13,85;15,87;14,64;18,39;21,15;20,31;23,05;20,81;
PR;41;Paraná;19,07;19,25;21,58;19,58;22,12;22,98;24,62;25,72;27;25,44;
RJ;33;Rio de Janeiro;16,56;16,9;19,21;21,49;20,27;21,42;24;24,06;24,39;23,54;
RN;24;Rio Grande do Norte;11,28;15,03;19,27;17,7;17,48;19,41;21,6;18,3;17,68;17,95;
RO;11;Rondônia;14,46;13,61;13,13;15,01;16,41;18,6;23,68;17,25;22,78;19,54;
RR;14;Roraima;19,77;16,43;22,3;21,09;21,51;20,2;24,56;18,57;18,59;16,23;
RS;43;Rio Grande do Sul;19,61;20,91;22,28;20,79;23,88;24,32;22,16;22,97;25,92;22,61;
SC;42;Santa Catarina;19,53;21,68;22,12;24,98;24,26;25,56;26,05;25,8;27,91;27,18;
SE;28;Sergipe;16,11;16,67;17,72;16,71;14,75;14,79;17,62;13,58;19,2;15,53;
SP;35;São Paulo;19,6;19,61;22,09;20,41;22,97;22,25;22,94;22,91;21,99;24,51;
TO;17;Tocantins;14,57;15,73;16,48;19,55;16,85;16,78;20,07;22,13;27,7;18,12;
